m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,selector,u_method,generation_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,status
4097,4150,false,0,0,0,4097,341,matrix_norms,intersection_inverse,245.592310000,1.730334000,0.155985000,21.587552000,1.067623000,24.541494000,15.644490242,0.238158822,65.689316510,1.000000000,465124,ok
4097,4150,false,0,0,0,4097,341,matrix_norms,svd_pseudoinverse,245.592310000,1.730334000,0.155985000,103.270104000,1.073732000,106.230155000,0.624736845,0.238158822,2.623194220,1.000000000,465124,ok
4097,4150,false,0,0,0,4097,341,randomized_range,intersection_inverse,245.592310000,15.886255000,0.170252000,20.229810000,1.133759000,37.420076000,10.222455978,0.238158822,42.922852448,1.000000000,465124,ok
4097,4150,false,0,0,0,4097,341,randomized_range,svd_pseudoinverse,245.592310000,15.886255000,0.170252000,102.335245000,1.084386000,119.476138000,0.624943733,0.238158822,2.624062917,1.000000000,465124,ok
4097,4150,false,0,1,0,4097,204,matrix_norms,intersection_inverse,245.592310000,1.780791000,0.157118000,4.296665000,0.972730000,7.207304000,39.342823029,0.497880459,79.020620976,1.000000000,166464,ok
4097,4150,false,0,1,0,4097,204,matrix_norms,svd_pseudoinverse,245.592310000,1.780791000,0.157118000,50.645240000,1.181775000,53.764924000,1.134666800,0.497880459,2.278994446,1.000000000,166464,ok
4097,4150,false,0,1,0,4097,204,randomized_range,intersection_inverse,245.592310000,10.834671000,0.242708000,4.136033000,0.899523000,16.112935000,24.948394775,0.497880459,50.109206603,1.000000000,166464,ok
4097,4150,false,0,1,0,4097,204,randomized_range,svd_pseudoinverse,245.592310000,10.834671000,0.242708000,51.778349000,1.083866000,63.939594000,1.135875821,0.497880459,2.281422781,1.000000000,166464,ok
4097,4150,false,0,2,1,2049,170,matrix_norms,intersection_inverse,245.592310000,1.669443000,0.141812000,2.396026000,0.851252000,5.058533000,3.354680538,0.169633135,19.776092296,1.000000000,115600,ok
4097,4150,false,0,2,1,2049,170,matrix_norms,svd_pseudoinverse,245.592310000,1.669443000,0.141812000,37.954049000,1.125372000,40.890676000,0.443809241,0.169633135,2.616288619,1.000000000,115600,ok
4097,4150,false,0,2,1,2049,170,randomized_range,intersection_inverse,245.592310000,9.174962000,0.165624000,2.459161000,0.838420000,12.638167000,10.608299255,0.169633135,62.536716325,1.000000000,115600,ok
4097,4150,false,0,2,1,2049,170,randomized_range,svd_pseudoinverse,245.592310000,9.174962000,0.165624000,37.211215000,1.052034000,47.603835000,0.444128424,0.169633135,2.618170226,1.000000000,115600,ok
4097,4150,false,0,3,1,2049,102,matrix_norms,intersection_inverse,245.592310000,1.778479000,0.105645000,0.630091000,0.761473000,3.275688000,192.274002075,0.353119880,544.500644077,0.189164147,41616,ok
4097,4150,false,0,3,1,2049,102,matrix_norms,svd_pseudoinverse,245.592310000,1.778479000,0.105645000,21.549766000,0.797054000,24.230944000,0.798988581,0.353119880,2.262655336,1.000000000,41616,ok
