m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,selector,u_method,generation_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,status
4097,4150,false,0,0,0,4097,341,matrix_norms,intersection_inverse,249.584391000,1.738692000,0.161205000,19.769191000,1.051896000,22.720984000,15.644490242,0.238158822,65.689316510,1.000000000,465124,ok
4097,4150,false,0,0,0,4097,341,matrix_norms,svd_pseudoinverse,249.584391000,1.738692000,0.161205000,99.587268000,1.110565000,102.597730000,0.624736845,0.238158822,2.623194220,1.000000000,465124,ok
4097,4150,false,0,0,0,4097,341,randomized_range,intersection_inverse,249.584391000,15.903506000,0.172491000,20.123144000,1.051168000,37.250309000,10.222455978,0.238158822,42.922852448,1.000000000,465124,ok
4097,4150,false,0,0,0,4097,341,randomized_range,svd_pseudoinverse,249.584391000,15.903506000,0.172491000,97.649836000,1.082529000,114.808362000,0.624943733,0.238158822,2.624062917,1.000000000,465124,ok
4097,4150,false,0,1,0,4097,204,matrix_norms,intersection_inverse,249.584391000,1.718089000,0.164625000,4.144302000,0.964253000,6.991269000,39.342823029,0.497880459,79.020620976,1.000000000,166464,ok
4097,4150,false,0,1,0,4097,204,matrix_norms,svd_pseudoinverse,249.584391000,1.718089000,0.164625000,48.646908000,1.164023000,51.693645000,1.134666800,0.497880459,2.278994446,1.000000000,166464,ok
4097,4150,false,0,1,0,4097,204,randomized_range,intersection_inverse,249.584391000,10.936343000,0.166572000,4.033411000,0.893126000,16.029452000,24.948394775,0.497880459,50.109206603,1.000000000,166464,ok
4097,4150,false,0,1,0,4097,204,randomized_range,svd_pseudoinverse,249.584391000,10.936343000,0.166572000,49.314238000,1.088247000,61.505400000,1.135875821,0.497880459,2.281422781,1.000000000,166464,ok
4097,4150,false,0,2,1,2049,170,matrix_norms,intersection_inverse,249.584391000,1.711835000,0.151006000,2.531971000,0.882075000,5.276887000,3.354680538,0.169633135,19.776092296,1.000000000,115600,ok
4097,4150,false,0,2,1,2049,170,matrix_norms,svd_pseudoinverse,249.584391000,1.711835000,0.151006000,35.327175000,1.039886000,38.229902000,0.443809241,0.169633135,2.616288619,1.000000000,115600,ok
4097,4150,false,0,2,1,2049,170,randomized_range,intersection_inverse,249.584391000,9.174401000,0.180715000,2.689467000,0.838454000,12.883037000,10.608299255,0.169633135,62.536716325,1.000000000,115600,ok
4097,4150,false,0,2,1,2049,170,randomized_range,svd_pseudoinverse,249.584391000,9.174401000,0.180715000,35.672582000,1.072848000,46.100546000,0.444128424,0.169633135,2.618170226,1.000000000,115600,ok
4097,4150,false,0,3,1,2049,102,matrix_norms,intersection_inverse,249.584391000,1.756901000,0.116460000,0.626781000,0.754737000,3.254879000,192.274002075,0.353119880,544.500644077,0.189164147,41616,ok
