m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,k_over_true_rank,selector,u_method,generation_ms,generation_q_ms,generation_scale_ms,generation_multiply_ms,generation_copy_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,serialized_solution_bytes,status
1025,1100,true,0,0,0,1025,85,0.082926829,matrix_norms,intersection_inverse,76.646674000,69.461041000,0.115698000,5.239162000,1.663428000,0.739806000,0.099237000,0.578561000,0.397350000,1.814954000,1.666297197,0.001764213,944.498769604,0.091053586,28900,36962,ok
1025,1100,true,0,0,0,1025,85,0.082926829,matrix_norms,svd_pseudoinverse,76.646674000,69.461041000,0.115698000,5.239162000,1.663428000,0.739806000,0.099237000,10.774692000,0.415474000,12.029209000,0.005049279,0.001764213,2.862057388,1.000000000,28900,36450,ok
1025,1100,true,0,0,0,1025,85,0.082926829,block_krylov_maxvol,intersection_inverse,76.646674000,69.461041000,0.115698000,5.239162000,1.663428000,47.954156000,0.120038000,0.603357000,0.385287000,49.062838000,0.035761863,0.001764213,20.270715002,1.000000000,28900,36574,ok
1025,1100,true,0,0,0,1025,85,0.082926829,block_krylov_maxvol,svd_pseudoinverse,76.646674000,69.461041000,0.115698000,5.239162000,1.663428000,47.954156000,0.120038000,10.721483000,0.445612000,59.241289000,0.004562146,0.001764213,2.585938306,1.000000000,28900,36438,ok
1025,1100,true,0,1,0,1025,51,0.049756098,matrix_norms,intersection_inverse,76.646674000,69.461041000,0.115698000,5.239162000,1.663428000,0.627043000,0.085070000,0.194898000,0.444118000,1.351129000,0.873948336,0.003817787,228.914905957,0.227158646,10404,13446,ok
1025,1100,true,0,1,0,1025,51,0.049756098,matrix_norms,svd_pseudoinverse,76.646674000,69.461041000,0.115698000,5.239162000,1.663428000,0.627043000,0.085070000,7.019048000,0.447604000,8.178765000,0.011059477,0.003817787,2.896829289,1.000000000,10404,13350,ok
1025,1100,true,0,1,0,1025,51,0.049756098,block_krylov_maxvol,intersection_inverse,76.646674000,69.461041000,0.115698000,5.239162000,1.663428000,31.410293000,0.086874000,0.190599000,0.381439000,32.069205000,0.029288564,0.003817787,7.671607774,1.000000000,10404,13362,ok
1025,1100,true,0,1,0,1025,51,0.049756098,block_krylov_maxvol,svd_pseudoinverse,76.646674000,69.461041000,0.115698000,5.239162000,1.663428000,31.410293000,0.086874000,6.502365000,0.422958000,38.422490000,0.009007082,0.003817787,2.359241752,1.000000000,10404,13314,ok
1025,1100,true,0,2,1,513,42,0.081871345,matrix_norms,intersection_inverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,0.695442000,0.111029000,0.182354000,0.484563000,1.473388000,0.014922978,0.001283826,11.623828650,1.000000000,7056,9158,ok
1025,1100,true,0,2,1,513,42,0.081871345,matrix_norms,svd_pseudoinverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,0.695442000,0.111029000,6.007611000,0.590694000,7.404776000,0.003714445,0.001283826,2.893261099,1.000000000,7056,9142,ok
1025,1100,true,0,2,1,513,42,0.081871345,block_krylov_maxvol,intersection_inverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,26.889978000,0.110388000,0.165843000,0.386469000,27.552678000,0.011298064,0.001283826,8.800305042,1.000000000,7056,9166,ok
1025,1100,true,0,2,1,513,42,0.081871345,block_krylov_maxvol,svd_pseudoinverse,9.744229000,9.271537000,0.076664000,0.187464000,0.091613000,26.889978000,0.110388000,5.512358000,0.474424000,32.987148000,0.002996268,0.001283826,2.333857545,1.000000000,7056,9146,ok
