m,n,poly,seed,sub_idx,matrix_idx,true_rank,target_k,selector,u_method,generation_ms,selection_ms,extraction_ms,u_ms,verification_ms,total_ms,fnorm,optimal_fnorm,error_ratio,score,u_bytes,status
8193,8193,true,0,0,0,8193,682,matrix_norms,intersection_inverse,865.139509000,4.624453000,1.151170000,105.413442000,12.322440000,123.511505000,0.919676065,0.004921398,186.872925534,1.000000000,1860496,ok
8193,8193,true,0,0,0,8193,682,matrix_norms,svd_pseudoinverse,865.139509000,4.624453000,1.151170000,294.578578000,12.703638000,313.057839000,0.013821506,0.004921398,2.808451092,1.000000000,1860496,ok
8193,8193,true,0,0,0,8193,682,randomized_range,intersection_inverse,865.139509000,63.759873000,1.171061000,106.130591000,12.320310000,183.381835000,0.919676065,0.004921398,186.872925534,1.000000000,1860496,ok
8193,8193,true,0,0,0,8193,682,randomized_range,svd_pseudoinverse,865.139509000,63.759873000,1.171061000,295.148608000,12.694268000,372.773810000,0.013821808,0.004921398,2.808512406,1.000000000,1860496,ok
8193,8193,true,0,1,0,8193,409,matrix_norms,intersection_inverse,865.139509000,4.633093000,0.964617000,23.218726000,11.459485000,40.275921000,9.938176155,0.010603420,937.261432536,0.437444651,669124,ok
8193,8193,true,0,1,0,8193,409,matrix_norms,svd_pseudoinverse,865.139509000,4.633093000,0.964617000,133.368500000,11.974434000,150.940644000,0.029771585,0.010603420,2.807734335,1.000000000,669124,ok
8193,8193,true,0,1,0,8193,409,randomized_range,intersection_inverse,865.139509000,40.039922000,1.002748000,24.016134000,11.468827000,76.527631000,9.938176155,0.010603420,937.261432536,0.437444651,669124,ok
8193,8193,true,0,1,0,8193,409,randomized_range,svd_pseudoinverse,865.139509000,40.039922000,1.002748000,134.130173000,11.942966000,187.115809000,0.029771527,0.010603420,2.807728890,1.000000000,669124,ok
8193,8193,true,0,2,1,4097,341,matrix_norms,intersection_inverse,865.139509000,4.593113000,0.942857000,14.040344000,10.378907000,29.955221000,4.422642231,0.003483786,1269.493162819,0.269398851,465124,ok
8193,8193,true,0,2,1,4097,341,matrix_norms,svd_pseudoinverse,865.139509000,4.593113000,0.942857000,103.401028000,10.898876000,119.835874000,0.009788536,0.003483786,2.809740939,1.000000000,465124,ok
8193,8193,true,0,2,1,4097,341,randomized_range,intersection_inverse,865.139509000,33.408034000,0.953867000,14.104515000,10.404198000,58.870614000,4.422637463,0.003483786,1269.491794086,0.269399142,465124,ok
8193,8193,true,0,2,1,4097,341,randomized_range,svd_pseudoinverse,865.139509000,33.408034000,0.953867000,102.713416000,10.870467000,147.945784000,0.009788284,0.003483786,2.809668760,1.000000000,465124,ok
8193,8193,true,0,3,1,4097,204,matrix_norms,intersection_inverse,865.139509000,4.587903000,0.867226000,3.170587000,9.807657000,18.433373000,0.221159145,0.007539177,29.334654128,1.000000000,166464,ok
8193,8193,true,0,3,1,4097,204,matrix_norms,svd_pseudoinverse,865.139509000,4.587903000,0.867226000,52.379907000,10.344216000,68.179252000,0.021084893,0.007539177,2.796710294,1.000000000,166464,ok
8193,8193,true,0,3,1,4097,204,randomized_range,intersection_inverse,865.139509000,21.634140000,0.876656000,2.987814000,9.822097000,35.320707000,0.221159220,0.007539177,29.334664010,1.000000000,166464,ok
8193,8193,true,0,3,1,4097,204,randomized_range,svd_pseudoinverse,865.139509000,21.634140000,0.876656000,45.514883000,10.361137000,78.386816000,0.021084860,0.007539177,2.796705846,1.000000000,166464,ok
8193,8193,true,0,4,1,4097,682,matrix_norms,intersection_inverse,865.139509000,4.590483000,1.139091000,101.763978000,12.262461000,119.756013000,0.169639066,0.001228048,138.137175319,1.000000000,1860496,ok
8193,8193,true,0,4,1,4097,682,matrix_norms,svd_pseudoinverse,865.139509000,4.590483000,1.139091000,290.662048000,12.681201000,309.072823000,0.003703218,0.001228048,3.015532213,1.000000000,1860496,ok
8193,8193,true,0,4,1,4097,682,randomized_range,intersection_inverse,865.139509000,63.788552000,1.154261000,104.092366000,12.301114000,181.336293000,0.169614196,0.001228048,138.116923635,1.000000000,1860496,ok
8193,8193,true,0,4,1,4097,682,randomized_range,svd_pseudoinverse,865.139509000,63.788552000,1.154261000,300.840208000,12.689181000,378.472202000,0.003657346,0.001228048,2.978178761,1.000000000,1860496,ok
8193,8193,true,0,5,1,4097,409,matrix_norms,intersection_inverse,865.139509000,4.767987000,0.974998000,28.224534000,12.423336000,46.390855000,1.064798832,0.002650786,401.691778280,1.000000000,669124,ok
8193,8193,true,0,5,1,4097,409,matrix_norms,svd_pseudoinverse,865.139509000,4.767987000,0.974998000,134.850315000,11.917287000,152.510587000,0.007471408,0.002650786,2.818563451,1.000000000,669124,ok
8193,8193,true,0,5,1,4097,409,randomized_range,intersection_inverse,865.139509000,40.178282000,0.994188000,29.366185000,11.679373000,82.218028000,1.064793110,0.002650786,401.689619657,1.000000000,669124,ok
8193,8193,true,0,5,1,4097,409,randomized_range,svd_pseudoinverse,865.139509000,40.178282000,0.994188000,138.449527000,12.262575000,191.884572000,0.007469629,0.002650786,2.817892395,1.000000000,669124,ok
8193,8193,true,0,6,2,2049,170,matrix_norms,intersection_inverse,865.139509000,4.798578000,0.849205000,1.777033000,9.504254000,16.929070000,0.073654465,0.002479766,29.702180599,1.000000000,115600,ok
8193,8193,true,0,6,2,2049,170,matrix_norms,svd_pseudoinverse,865.139509000,4.798578000,0.849205000,38.139040000,9.498494000,53.285317000,0.007031151,0.002479766,2.835408804,1.000000000,115600,ok
8193,8193,true,0,6,2,2049,170,randomized_range,intersection_inverse,865.139509000,18.943047000,0.849075000,1.824234000,8.947134000,30.563490000,0.073654465,0.002479766,29.702180599,1.000000000,115600,ok
8193,8193,true,0,6,2,2049,170,randomized_range,svd_pseudoinverse,865.139509000,18.943047000,0.849075000,32.732891000,9.490154000,62.015167000,0.007031151,0.002479766,2.835408804,1.000000000,115600,ok
8193,8193,true,0,7,2,2049,102,matrix_norms,intersection_inverse,865.139509000,4.613585000,0.806015000,0.511739000,8.729470000,14.660809000,0.344304204,0.005350597,64.348748542,1.000000000,41616,ok
8193,8193,true,0,7,2,2049,102,matrix_norms,svd_pseudoinverse,865.139509000,4.613585000,0.806015000,17.896539000,9.263679000,32.579818000,0.014906715,0.005350597,2.785991059,1.000000000,41616,ok
8193,8193,true,0,7,2,2049,102,randomized_range,intersection_inverse,865.139509000,13.109961000,0.823955000,0.548370000,8.848243000,23.330529000,0.344304204,0.005350597,64.348748542,1.000000000,41616,ok
8193,8193,true,0,7,2,2049,102,randomized_range,svd_pseudoinverse,865.139509000,13.109961000,0.823955000,19.128851000,9.498764000,42.561531000,0.014906715,0.005350597,2.785991059,1.000000000,41616,ok
8193,8193,true,0,8,2,2049,341,matrix_norms,intersection_inverse,865.139509000,4.635435000,0.942367000,15.046676000,10.611555000,31.236033000,0.113899775,0.000869322,131.021424945,1.000000000,465124,ok
8193,8193,true,0,8,2,2049,341,matrix_norms,svd_pseudoinverse,865.139509000,4.635435000,0.942367000,101.165476000,10.929191000,117.672469000,0.002631207,0.000869322,3.026735215,1.000000000,465124,ok
8193,8193,true,0,8,2,2049,341,randomized_range,intersection_inverse,865.139509000,33.398154000,0.957157000,13.614270000,10.416531000,58.386112000,0.113899775,0.000869322,131.021424945,1.000000000,465124,ok
8193,8193,true,0,8,2,2049,341,randomized_range,svd_pseudoinverse,865.139509000,33.398154000,0.957157000,104.862624000,11.049313000,150.267248000,0.002631207,0.000869322,3.026735215,1.000000000,465124,ok
8193,8193,true,0,9,2,2049,204,matrix_norms,intersection_inverse,865.139509000,4.577194000,0.864116000,3.023165000,9.842641000,18.307116000,0.065091513,0.001884760,34.535701928,1.000000000,166464,ok
8193,8193,true,0,9,2,2049,204,matrix_norms,svd_pseudoinverse,865.139509000,4.577194000,0.864116000,52.211778000,11.453290000,69.106378000,0.005332826,0.001884760,2.829445596,1.000000000,166464,ok
8193,8193,true,0,9,2,2049,204,randomized_range,intersection_inverse,865.139509000,21.676537000,0.866756000,3.013936000,9.914151000,35.471380000,0.065091513,0.001884760,34.535701928,1.000000000,166464,ok
8193,8193,true,0,9,2,2049,204,randomized_range,svd_pseudoinverse,865.139509000,21.676537000,0.866756000,43.941287000,12.137643000,78.622223000,0.005332826,0.001884760,2.829445596,1.000000000,166464,ok
8193,8193,true,0,10,2,2049,682,matrix_norms,intersection_inverse,865.139509000,4.617215000,1.131261000,108.316518000,12.433728000,126.498722000,0.083737142,0.000302014,277.262453308,1.000000000,1860496,ok
8193,8193,true,0,10,2,2049,682,matrix_norms,svd_pseudoinverse,865.139509000,4.617215000,1.131261000,296.088049000,12.725035000,314.561560000,0.003818612,0.000302014,12.643823210,1.000000000,1860496,ok
8193,8193,true,0,10,2,2049,682,randomized_range,intersection_inverse,865.139509000,63.652776000,1.165142000,108.021187000,12.368168000,185.207273000,0.083737142,0.000302014,277.262453308,1.000000000,1860496,ok
8193,8193,true,0,10,2,2049,682,randomized_range,svd_pseudoinverse,865.139509000,63.652776000,1.165142000,294.927232000,12.730405000,372.475555000,0.003818612,0.000302014,12.643823210,1.000000000,1860496,ok
8193,8193,true,0,11,2,2049,409,matrix_norms,intersection_inverse,865.139509000,4.576374000,0.978368000,23.326742000,11.521252000,40.402736000,0.065202564,0.000660459,98.723169036,1.000000000,669124,ok
8193,8193,true,0,11,2,2049,409,matrix_norms,svd_pseudoinverse,865.139509000,4.576374000,0.978368000,133.029560000,11.926521000,150.510823000,0.002308530,0.000660459,3.495343448,1.000000000,669124,ok
8193,8193,true,0,11,2,2049,409,randomized_range,intersection_inverse,865.139509000,39.956488000,1.006889000,23.592626000,11.444142000,76.000145000,0.065202564,0.000660459,98.723169036,1.000000000,669124,ok
8193,8193,true,0,11,2,2049,409,randomized_range,svd_pseudoinverse,865.139509000,39.956488000,1.006889000,133.035142000,11.905621000,185.904140000,0.002308530,0.000660459,3.495343448,1.000000000,669124,ok
8193,8193,true,0,12,3,1025,170,matrix_norms,intersection_inverse,865.139509000,4.569495000,0.846376000,1.853595000,8.912355000,16.181821000,0.065419786,0.000618803,105.719866988,1.000000000,115600,ok
8193,8193,true,0,12,3,1025,170,matrix_norms,svd_pseudoinverse,865.139509000,4.569495000,0.846376000,37.556169000,9.498107000,52.470147000,0.001932736,0.000618803,3.123346092,1.000000000,115600,ok
8193,8193,true,0,12,3,1025,170,randomized_range,intersection_inverse,865.139509000,18.913732000,0.851516000,1.830504000,8.949707000,30.545459000,0.065419786,0.000618803,105.719866988,1.000000000,115600,ok
8193,8193,true,0,12,3,1025,170,randomized_range,svd_pseudoinverse,865.139509000,18.913732000,0.851516000,32.459804000,9.461156000,61.686208000,0.001932736,0.000618803,3.123346092,1.000000000,115600,ok
8193,8193,true,0,13,3,1025,102,matrix_norms,intersection_inverse,865.139509000,4.578986000,0.814845000,0.515149000,8.712853000,14.621833000,0.055314679,0.001337633,41.352642569,1.000000000,41616,ok
8193,8193,true,0,13,3,1025,102,matrix_norms,svd_pseudoinverse,865.139509000,4.578986000,0.814845000,17.932344000,9.266422000,32.592597000,0.003782584,0.001337633,2.827817727,1.000000000,41616,ok
8193,8193,true,0,13,3,1025,102,randomized_range,intersection_inverse,865.139509000,12.970882000,0.801975000,0.521200000,8.685141000,22.979198000,0.055314679,0.001337633,41.352642569,1.000000000,41616,ok
8193,8193,true,0,13,3,1025,102,randomized_range,svd_pseudoinverse,865.139509000,12.970882000,0.801975000,17.865293000,9.270742000,40.908892000,0.003782584,0.001337633,2.827817727,1.000000000,41616,ok
8193,8193,true,0,14,3,1025,341,matrix_norms,intersection_inverse,865.139509000,4.539765000,0.932607000,13.860378000,10.398474000,29.731224000,0.047589321,0.000213803,222.584865012,1.000000000,465124,ok
8193,8193,true,0,14,3,1025,341,matrix_norms,svd_pseudoinverse,865.139509000,4.539765000,0.932607000,99.582704000,10.867462000,115.922538000,0.003180572,0.000213803,14.876179051,1.000000000,465124,ok
8193,8193,true,0,14,3,1025,341,randomized_range,intersection_inverse,865.139509000,33.295010000,0.952118000,13.724185000,10.361923000,58.333236000,0.047589321,0.000213803,222.584865012,1.000000000,465124,ok
8193,8193,true,0,14,3,1025,341,randomized_range,svd_pseudoinverse,865.139509000,33.295010000,0.952118000,105.422413000,10.867722000,150.537263000,0.003180572,0.000213803,14.876179051,1.000000000,465124,ok
8193,8193,true,0,15,3,1025,204,matrix_norms,intersection_inverse,865.139509000,4.596675000,0.861826000,3.067377000,9.781003000,18.306881000,0.021914346,0.000469619,46.664139394,1.000000000,166464,ok
8193,8193,true,0,15,3,1025,204,matrix_norms,svd_pseudoinverse,865.139509000,4.596675000,0.861826000,49.682474000,10.350143000,65.491118000,0.001820666,0.000469619,3.876904836,1.000000000,166464,ok
8193,8193,true,0,15,3,1025,204,randomized_range,intersection_inverse,865.139509000,21.667563000,0.872916000,3.014346000,9.814013000,35.368838000,0.021914346,0.000469619,46.664139394,1.000000000,166464,ok
8193,8193,true,0,15,3,1025,204,randomized_range,svd_pseudoinverse,865.139509000,21.667563000,0.872916000,43.421708000,10.351673000,76.313860000,0.001820666,0.000469619,3.876904836,1.000000000,166464,ok
8193,8193,true,0,16,4,513,170,matrix_norms,intersection_inverse,865.139509000,4.658407000,0.848375000,1.801024000,8.961716000,16.269522000,0.274100393,0.000152227,1800.598661025,0.094968415,115600,ok
8193,8193,true,0,16,4,513,170,matrix_norms,svd_pseudoinverse,865.139509000,4.658407000,0.848375000,32.717490000,9.480016000,47.704288000,0.004321714,0.000152227,28.389865008,1.000000000,115600,ok
8193,8193,true,0,16,4,513,170,randomized_range,intersection_inverse,865.139509000,18.915882000,0.853596000,1.841884000,8.937327000,30.548689000,0.274100393,0.000152227,1800.598661025,0.094968415,115600,ok
8193,8193,true,0,16,4,513,170,randomized_range,svd_pseudoinverse,865.139509000,18.915882000,0.853596000,32.760949000,9.492797000,62.023224000,0.004321714,0.000152227,28.389865008,1.000000000,115600,ok
8193,8193,true,0,17,4,513,102,matrix_norms,intersection_inverse,865.139509000,4.553064000,0.801345000,0.505880000,8.704072000,14.564361000,0.028857587,0.000333303,86.580517664,1.000000000,41616,ok
8193,8193,true,0,17,4,513,102,matrix_norms,svd_pseudoinverse,865.139509000,4.553064000,0.801345000,17.637299000,9.258092000,32.249800000,0.001629009,0.000333303,4.887466360,1.000000000,41616,ok
8193,8193,true,0,17,4,513,102,randomized_range,intersection_inverse,865.139509000,12.924691000,0.805346000,0.519949000,8.722784000,22.972770000,0.028857587,0.000333303,86.580517664,1.000000000,41616,ok
8193,8193,true,0,17,4,513,102,randomized_range,svd_pseudoinverse,865.139509000,12.924691000,0.805346000,17.642730000,9.240434000,40.613201000,0.001629009,0.000333303,4.887466360,1.000000000,41616,ok
