m,n,poly,seed,sub_idx,true_rank_stratum,target_ratio_stratum,sampled_true_rank_ratio,true_rank,sampled_target_rank_ratio,target_k,k_over_true_rank,selector,u_method,generation_gaussian_u_ms,generation_qr_u_ms,generation_gaussian_v_ms,generation_qr_v_ms,generation_basis_extract_scale_ms,generation_matrix_multiply_ms,generation_sub_instance_total_ms,generation_qr_plus_matrix_multiply_ms,generation_wall_ms,selection_ms,extraction_ms,u_ms,verification_ms,solver_total_ms,cur_fnorm,optimal_svd_fnorm,raw_error_ratio,score,u_bytes,serialized_solution_bytes,status
512,640,true,0,0,0,1,0.052377030,27,0.296618236,8,0.296296296,matrix_norms,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.143420000,4.874393000,5.247337000,9.732286000,16.229477000,0.552352000,0.120778000,1.297297000,0.435582000,2.406009000,0.004734077,0.000046873,100.999017480,0.089109778,256,482,ok
512,640,true,0,0,0,1,0.052377030,27,0.296618236,8,0.296296296,matrix_norms,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.143420000,4.874393000,5.247337000,9.732286000,16.229477000,0.552352000,0.120778000,11.630694000,0.416966000,12.720790000,0.000313995,0.000046873,6.698918328,1.000000000,256,494,ok
512,640,true,0,0,0,1,0.052377030,27,0.296618236,8,0.296296296,block_krylov_maxvol,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.143420000,4.874393000,5.247337000,9.732286000,16.229477000,10.870861000,0.129355000,0.844913000,0.428008000,12.273137000,0.000164379,0.000046873,3.506930302,1.000000000,256,494,ok
512,640,true,0,0,0,1,0.052377030,27,0.296618236,8,0.296296296,block_krylov_maxvol,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.143420000,4.874393000,5.247337000,9.732286000,16.229477000,10.870861000,0.129355000,10.580302000,0.393762000,21.974280000,0.000164379,0.000046873,3.506930302,1.000000000,256,494,ok
512,640,true,0,1,1,4,0.067582811,35,0.581497428,20,0.571428571,matrix_norms,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.076714000,0.128944000,0.356644000,9.732286000,16.229477000,0.471529000,0.088917000,0.952866000,0.421646000,1.934958000,0.014118578,0.000016826,839.068415826,0.025027757,1600,2238,ok
512,640,true,0,1,1,4,0.067582811,35,0.581497428,20,0.571428571,matrix_norms,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.076714000,0.128944000,0.356644000,9.732286000,16.229477000,0.471529000,0.088917000,14.839456000,0.414672000,15.814574000,0.000415661,0.000016826,24.702757549,0.850107522,1600,2266,ok
512,640,true,0,1,1,4,0.067582811,35,0.581497428,20,0.571428571,block_krylov_maxvol,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.076714000,0.128944000,0.356644000,9.732286000,16.229477000,11.739941000,0.089978000,0.885129000,0.402860000,13.117908000,0.001382291,0.000016826,82.149707982,0.255630854,1600,2234,ok
512,640,true,0,1,1,4,0.067582811,35,0.581497428,20,0.571428571,block_krylov_maxvol,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.076714000,0.128944000,0.356644000,9.732286000,16.229477000,11.739941000,0.089978000,14.849974000,0.388023000,27.067916000,0.000151781,0.000016826,9.020378874,1.000000000,1600,2226,ok
512,640,true,0,2,2,0,0.117096042,60,0.213556692,13,0.216666667,matrix_norms,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.063499000,0.079510000,0.274027000,9.732286000,16.229477000,0.441352000,0.083668000,0.830526000,0.432285000,1.787831000,0.002137481,0.000106681,20.036173995,0.698736196,676,1050,ok
512,640,true,0,2,2,0,0.117096042,60,0.213556692,13,0.216666667,matrix_norms,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.063499000,0.079510000,0.274027000,9.732286000,16.229477000,0.441352000,0.083668000,11.719600000,0.394624000,12.639244000,0.000653067,0.000106681,6.121672185,1.000000000,676,1038,ok
512,640,true,0,2,2,0,0.117096042,60,0.213556692,13,0.216666667,block_krylov_maxvol,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.063499000,0.079510000,0.274027000,9.732286000,16.229477000,10.187271000,0.090290000,0.767469000,0.414672000,11.459702000,0.000193983,0.000106681,1.818342827,1.000000000,676,1046,ok
512,640,true,0,2,2,0,0.117096042,60,0.213556692,13,0.216666667,block_krylov_maxvol,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.063499000,0.079510000,0.274027000,9.732286000,16.229477000,10.187271000,0.090290000,11.689394000,0.407900000,22.374855000,0.000193983,0.000106681,1.818342827,1.000000000,676,1046,ok
512,640,true,0,3,3,5,0.146216327,75,0.739562110,55,0.733333333,matrix_norms,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.065463000,0.063550000,0.256264000,9.732286000,16.229477000,0.496677000,0.089169000,1.170587000,0.433858000,2.190291000,0.014424071,0.000014292,1009.248859877,0.055486810,12100,15442,ok
512,640,true,0,3,3,5,0.146216327,75,0.739562110,55,0.733333333,matrix_norms,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.065463000,0.063550000,0.256264000,9.732286000,16.229477000,0.496677000,0.089169000,37.500339000,0.447274000,38.533459000,0.000437417,0.000014292,30.605982298,1.000000000,12100,15510,ok
512,640,true,0,3,3,5,0.146216327,75,0.739562110,55,0.733333333,block_krylov_maxvol,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.065463000,0.063550000,0.256264000,9.732286000,16.229477000,26.364619000,0.106773000,1.395511000,0.441843000,28.308746000,0.002256698,0.000014292,157.900662946,0.354653356,12100,15418,ok
512,640,true,0,3,3,5,0.146216327,75,0.739562110,55,0.733333333,block_krylov_maxvol,adaptive_svd_pseudoinverse,0.984467000,2.440582000,1.262551000,2.000394000,0.065463000,0.063550000,0.256264000,9.732286000,16.229477000,26.364619000,0.106773000,37.533733000,0.462071000,64.467196000,0.000271547,0.000014292,19.000047855,1.000000000,12100,15454,ok
512,640,true,0,4,4,2,0.163769945,84,0.361614008,30,0.357142857,matrix_norms,qr_least_squares,0.984467000,2.440582000,1.262551000,2.000394000,0.066806000,0.063630000,0.254479000,9.732286000,16.229477000,0.534898000,0.110247000,1.093451000,0.441212000,2.179808000,0.004401591,0.000055744,78.960238869,0.392602662,3600,4758,ok
