m,n,poly,seed,sub_idx,true_rank_stratum,target_ratio_stratum,sampled_true_rank_ratio,true_rank,sampled_target_rank_ratio,target_k,k_over_true_rank,selector,u_method,generation_gaussian_u_ms,generation_qr_u_ms,generation_gaussian_v_ms,generation_qr_v_ms,generation_basis_extract_scale_ms,generation_matrix_multiply_ms,generation_sub_instance_total_ms,generation_qr_plus_matrix_multiply_ms,generation_wall_ms,selection_ms,extraction_ms,u_ms,verification_ms,solver_total_ms,cur_fnorm,optimal_svd_fnorm,raw_error_ratio,score,u_bytes,serialized_solution_bytes,status
512,640,true,0,0,0,1,0.052377030,27,0.296618236,8,0.296296296,matrix_norms,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.069030000,4.811055000,5.006240000,34.398819000,45.936626000,0.454223000,0.084849000,0.644418000,0.419617000,1.603107000,0.004734077,0.000046873,100.999017480,0.089109778,256,482,ok
512,640,true,0,0,0,1,0.052377030,27,0.296618236,8,0.296296296,matrix_norms,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.069030000,4.811055000,5.006240000,34.398819000,45.936626000,0.454223000,0.084849000,1.738653000,0.388950000,2.666675000,0.004442649,0.000046873,94.781573887,0.094955165,256,478,ok
512,640,true,0,0,0,1,0.052377030,27,0.296618236,8,0.296296296,block_krylov_maxvol,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.069030000,4.811055000,5.006240000,34.398819000,45.936626000,10.827390000,0.093305000,0.690354000,0.387366000,11.998415000,0.000164379,0.000046873,3.506930302,1.000000000,256,494,ok
512,640,true,0,0,0,1,0.052377030,27,0.296618236,8,0.296296296,block_krylov_maxvol,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.069030000,4.811055000,5.006240000,34.398819000,45.936626000,10.827390000,0.093305000,1.743440000,0.435478000,13.099613000,0.000289550,0.000046873,6.177400796,1.000000000,256,482,ok
512,640,true,0,1,1,4,0.067582811,35,0.581497428,20,0.571428571,matrix_norms,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.089748000,0.118492000,0.331252000,34.398819000,45.936626000,0.476934000,0.132158000,0.880823000,0.402996000,1.892911000,0.014118578,0.000016826,839.068415826,0.025027757,1600,2238,ok
512,640,true,0,1,1,4,0.067582811,35,0.581497428,20,0.571428571,matrix_norms,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.089748000,0.118492000,0.331252000,34.398819000,45.936626000,0.476934000,0.132158000,2.737215000,0.395903000,3.742210000,0.008621791,0.000016826,512.393860544,0.040984098,1600,2238,ok
512,640,true,0,1,1,4,0.067582811,35,0.581497428,20,0.571428571,block_krylov_maxvol,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.089748000,0.118492000,0.331252000,34.398819000,45.936626000,15.089485000,0.090309000,0.878758000,0.394821000,16.453373000,0.002022389,0.000016826,120.190784849,0.174722214,1600,2238,ok
512,640,true,0,1,1,4,0.067582811,35,0.581497428,20,0.571428571,block_krylov_maxvol,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.089748000,0.118492000,0.331252000,34.398819000,45.936626000,15.089485000,0.090309000,2.751791000,0.394921000,18.326506000,0.001933196,0.000016826,114.890023006,0.182783495,1600,2234,ok
512,640,true,0,2,2,0,0.117096042,60,0.213556692,13,0.216666667,matrix_norms,qr_least_squares,1.444197000,27.246844000,1.240467000,1.991616000,0.055123000,0.057708000,0.229531000,34.398819000,45.936626000,0.572113000,0.099907000,0.813585000,0.399389000,1.884994000,0.002137481,0.000106681,20.036173995,0.698736196,676,1050,ok
512,640,true,0,2,2,0,0.117096042,60,0.213556692,13,0.216666667,matrix_norms,svd_pseudoinverse,1.444197000,27.246844000,1.240467000,1.991616000,0.055123000,0.057708000,0.229531000,34.398819000,45.936626000,0.572113000,0.099907000,2.147507000,0.412483000,3.232010000,0.001549520,0.000106681,14.524788921,0.963869429,676,1042,ok
