dataset,batch,algorithm,build_ms,search_ms,total_ms,qps,mad,k,recall_pct
60K,10,IVF-PQ,788.0,1.0,789.0,12.674271229404308,,,
60K,10,IVF-Flat,1013.0,0.19,1013.19,9.869817112288908,,,
60K,10,CAGRA,3289.0,0.166,3289.166,3.040284376039397,,,
60K,10,HNSW,3003.0,11.97,3014.97,3.3167825882181248,,,
60K,10,IMPROVED_SEARCH,101.0,737.6,838.6,11.924636298592892,,,
60K,2000,IVF-PQ,788.0,1.0,789.0,2534.8542458808615,,,
60K,2000,IVF-Flat,1013.0,5.9,1018.9,1962.901167926195,,,
60K,2000,CAGRA,3289.0,9.9,3298.9,606.2626936251478,,,
60K,2000,HNSW,3352.0,1365.4,4717.4,423.96235214312975,,,
60K,2000,IMPROVED_SEARCH,101.0,1103.3,1204.3,1660.715768496222,,,
60K,10000,IVF-PQ,788.0,155.0,943.0,10604.453870625663,,,
60K,10000,IVF-Flat,1013.0,40.1,1053.1,9495.774380400722,,,
60K,10000,CAGRA,3289.0,55.5,3344.5,2989.9835550904468,,,
60K,10000,HNSW,3987.0,6287.0,10274.0,973.3307377846993,,,
60K,10000,IMPROVED_SEARCH,101.0,1095.8,1196.8,8355.614973262032,,,
1M,10,IVF-PQ,400.0,0.25,400.25,24.984384759525298,,,
1M,10,IVF-Flat,1200.0,1.0,1201.0,8.32639467110741,,,
1M,10,CAGRA,41770.0,0.15,41770.15,0.2394054127169761,,,
1M,10,HNSW,42000.0,17.0,42017.0,0.23799890520503603,,,
1M,10,IMPROVED_SEARCH,412.0,2259.0,2671.0,3.7439161362785476,,,
1M,2000,IVF-PQ,400.0,9.6,409.6,4882.8125,,,
1M,2000,IVF-Flat,1200.0,59.6,1259.6,1587.8056525881234,,,
1M,2000,CAGRA,41770.0,9.9,41779.9,47.86990873601899,,,
1M,2000,HNSW,42000.0,1510.0,43510.0,45.966444495518274,,,
1M,2000,IMPROVED_SEARCH,417.0,4526.0,4943.0,404.61258345134536,,,
1M,10000,IVF-PQ,400.0,100.0,500.0,20000.0,,,
1M,10000,IVF-Flat,1200.0,390.0,1590.0,6289.308176100629,,,
1M,10000,CAGRA,41770.0,30.0,41800.0,239.23444976076556,,,
1M,10000,HNSW,42000.0,7526.0,49526.0,201.9141461050761,,,
1M,10000,IMPROVED_SEARCH,414.0,4338.0,4752.0,2104.3771043771044,,,
1M,10,"STAT_FILTER (bit-sliced, best)",0.0,11.0,11.0,909.0909090909091,0.0,4.0,100.0
1M,2000,"STAT_FILTER (bit-sliced, best)",0.0,39.0,39.0,51282.05128205128,0.0,4.0,97.0
1M,10000,"STAT_FILTER (bit-sliced, best)",0.0,161.0,161.0,62111.801242236026,0.0,5.0,98.0
60K,10,"STAT_FILTER (bit-sliced, best)",0.0,4.0,4.0,2500.0,0.0,10.0,90.0
60K,2000,"STAT_FILTER (bit-sliced, best)",0.0,15.0,15.0,133333.33333333334,0.4,10.0,90.0
60K,10000,"STAT_FILTER (bit-sliced, best)",0.0,48.0,48.0,208333.33333333334,0.4,10.0,90.0
